schema_version,evidence_class,measurement_warning,claim_boundary,mode,split,workload_kind,cell_id,cluster_id,seed,harness,comparison_reference,policy,requests,output_tokens,makespan_ms,throughput_tokens_per_s,p95_request_latency_ms,p99_tbt_ms,deadline_misses,deadline_miss_rate,target_launches,draft_launches,verifier_slots,padded_verifier_slots,mean_batch,cache_hits,cache_misses,accepted_draft_tokens,max_ready_wait_ms,starved_requests,trace_payload_sha256
2,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0000,0,decoder-policy-simulator,saguaro-barrier,fissionspec-horizon-2,16,512,83.23800000000003,6151.036786083278,83.23800000000003,6.384,0,0.0,28,34,586,0,7.214285714285714,180,6,310,0.0,0,e4f3913dc882bf32fda232f06babca432fd14535bb3415df7cdbeda542b59d12
2,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0000,0,decoder-policy-simulator,saguaro-barrier,fixed-coalesce,16,512,85.23800000000003,6006.71062202304,85.23800000000003,6.384,0,0.0,28,34,586,0,7.214285714285714,180,6,310,0.0,0,2ff1b385359fca53a0478d93a3ca7f36f68d47551cc7d7697a7859268e423cd9
2,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0000,0,decoder-policy-simulator,saguaro-barrier,immediate-fission,16,512,83.23800000000003,6151.036786083278,83.23800000000003,6.384,0,0.0,28,34,586,0,7.214285714285714,180,6,310,0.0,0,a4e4897bc60c498b6e5400231561d2d9926328d802efc0aab7d4b1222333b8b5
2,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0000,0,decoder-policy-simulator,saguaro-barrier,saguaro-barrier,16,512,82.33800000000004,6218.2710291724325,81.28200000000004,6.384000000000001,0,0.0,27,32,586,0,7.481481481481482,180,6,310,0.0,0,067c138cbb3ae13e00391193a5326b371d598a0868d5fed4b05168c14cf99332
2,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0001,1,decoder-policy-simulator,saguaro-barrier,fissionspec-horizon-2,16,512,86.92800000000001,5889.931897662433,84.792,6.384,0,0.0,31,38,591,0,6.548387096774194,179,8,309,0.0,0,7ea38ff68054d0fdcf0d4207899cb265f891a4a9b17737accb1a8669dee6b5ed
2,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0001,1,decoder-policy-simulator,saguaro-barrier,fixed-coalesce,16,512,88.67800000000001,5773.698098739258,86.167,6.384,0,0.0,31,38,591,0,6.548387096774194,179,8,309,0.0,0,a748808ad71bcf9196dea0a819c0a43a394d0cb131804a1f1c0c8c4e6f44aded
2,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0001,1,decoder-policy-simulator,saguaro-barrier,immediate-fission,16,512,86.92800000000001,5889.931897662433,84.792,6.384,0,0.0,31,38,591,0,6.548387096774194,179,8,309,0.0,0,b718bb78a539c639932b8dea82450d063314099fa18ad1fe1160dba5e455e12a
2,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0001,1,decoder-policy-simulator,saguaro-barrier,saguaro-barrier,16,512,82.67799999999998,6192.6993879871325,81.61599999999999,6.384,0,0.0,27,34,591,0,7.518518518518518,179,8,309,0.0,0,391af5f9166197085d65ad5f33c555c8281ad24907d500891f7ccf1c5a0d9536
2,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0002,2,decoder-policy-simulator,saguaro-barrier,fissionspec-horizon-2,16,512,85.70400000000002,5974.050219359655,84.64800000000002,6.384,0,0.0,30,39,588,0,6.766666666666667,174,13,309,0.0,0,8b07fa9e43eccad9d451fffa86a55d57e19889486fc80c4bc79b42319789d0f5
2,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0002,2,decoder-policy-simulator,saguaro-barrier,fixed-coalesce,16,512,87.70400000000002,5837.818115479338,86.46050000000002,6.384,0,0.0,30,39,588,0,6.766666666666667,174,13,309,0.0,0,b2fab4cb584e713a5c057cfcb728221d0d5f0fa137d0be43977ac1da2ba00a8a
2,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0002,2,decoder-policy-simulator,saguaro-barrier,immediate-fission,16,512,85.70400000000002,5974.050219359655,84.64800000000002,6.384,0,0.0,30,39,588,0,6.766666666666667,174,13,309,0.0,0,0cce3cefb3486bee9a51d5c1e024b64eeaa2f4eb8122a2cb2b46df3b98251002
2,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0002,2,decoder-policy-simulator,saguaro-barrier,saguaro-barrier,16,512,83.75399999999999,6113.140864913915,82.698,6.384,0,0.0,28,36,588,0,7.25,174,13,309,0.0,0,2a34c211c37a56869a1bd2072fdf4ed6872de410786fe2ab6d1e360b15b65a6a
2,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0003,3,decoder-policy-simulator,saguaro-barrier,fissionspec-horizon-2,16,512,83.078,6162.883073737933,83.078,6.384,0,0.0,29,40,566,0,6.793103448275862,167,14,315,0.0,0,dcbcd8bd1cf3ebd989c05f3c72b082e249d748d4dd8adc533a252571d6142a3c
2,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0003,3,decoder-policy-simulator,saguaro-barrier,fixed-coalesce,16,512,84.828,6035.7429150752105,84.828,6.384,0,0.0,29,40,566,0,6.793103448275862,167,14,315,0.0,0,30d0e0a83c4b6bf82405d34f5790b0b616a163651c94d3eb7b9a1cf2ae40c750
2,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0003,3,decoder-policy-simulator,saguaro-barrier,immediate-fission,16,512,83.078,6162.883073737933,83.078,6.384,0,0.0,29,40,566,0,6.793103448275862,167,14,315,0.0,0,a11bd72049b3ae7e42ecfb5d66e62fd72b9d8ed58cb4700fcadafafa0dbeefc3
2,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0003,3,decoder-policy-simulator,saguaro-barrier,saguaro-barrier,16,512,80.598,6352.514950743194,80.598,6.384,0,0.0,26,33,566,0,7.576923076923077,167,14,315,0.0,0,2b625ba2d208ff8a0a13dba110bc842434c0b36b5c29213869c75353883b9ec6
2,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0004,4,decoder-policy-simulator,saguaro-barrier,fissionspec-horizon-2,16,512,85.98400000000001,5954.59620394492,84.388,6.384,0,0.0,30,40,583,0,6.7,170,15,311,0.0,0,1248d7cee85cd3b62d0fba9098efb8b3c5e1edaf17e022898ed1157bb6ca37bb
