schema_version,evidence_class,measurement_warning,claim_boundary,mode,split,workload_kind,cell_id,cluster_id,seed,harness,requests,cache_hits,cache_hit_rate,mean_ttft_ms,p95_ttft_ms,cache_evictions,cache_allocated_pages,cache_peak_allocated_pages,stale_precompute_jobs,precompute_retries,recovery_retries,backpressured_attempts,terminal_failed_jobs,trace_payload_sha256
1,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0000,0,one-round-fidelity-model,16,16,1.0,16.177319999999998,28.24901999999999,0,48,48,0,0,0,0,0,1fc19fae5b92552936d03fcacc0eeeba5c31c26a3f43f47e26af19a409fbc6f7
1,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0001,1,one-round-fidelity-model,16,16,1.0,16.177319999999998,28.24901999999999,0,48,48,0,0,0,0,0,70252cbd5305c41e7b163d062f5111944e329948a7e15fa3154df8700b448c10
1,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0002,2,one-round-fidelity-model,16,16,1.0,16.177319999999998,28.24901999999999,0,48,48,0,0,0,0,0,03fa2bc6d413f619a18c5f43a7ab7e2f1f9cf25bd701315812335255af4db631
1,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0003,3,one-round-fidelity-model,16,16,1.0,16.177319999999998,28.24901999999999,0,48,48,0,0,0,0,0,6a3f4fbea4c10c3c0869926455c40c0bd6c0e4d9a22c35ce18a3f641d31f8cd4
1,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0004,4,one-round-fidelity-model,16,16,1.0,16.177319999999998,28.24901999999999,0,48,48,0,0,0,0,0,60713d6b0eb35efa19c0d393cb180ac6db8cdc74de987810cac1686bf0102e35
1,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0005,5,one-round-fidelity-model,16,16,1.0,16.177319999999998,28.24901999999999,0,48,48,0,0,0,0,0,c245eadfa09a49deb886fdf00eb69c1a9fb0a466e420ae66ee593db468b8dfe6
1,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0006,6,one-round-fidelity-model,16,16,1.0,16.177319999999998,28.24901999999999,0,48,48,0,0,0,0,0,ce288ac27d99ec82bb44bd664d56ba4681e438d06c48ce02d1dc0b7e70e0d329
1,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0007,7,one-round-fidelity-model,16,16,1.0,16.177319999999998,28.24901999999999,0,48,48,0,0,0,0,0,c0e6a29ae57ee1cfb62c3a8b55420bbcfdf5a8cb4a7078cc8d1fa981798f3825
1,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0008,8,one-round-fidelity-model,16,16,1.0,16.177319999999998,28.24901999999999,0,48,48,0,0,0,0,0,4ecfc1debc76ff3a88b1eb6b7fa762a5dc1a0d73266709a89c03f5046ce6c594
1,cpu-simulation-model,SIMULATION MODEL OUTPUT — NOT A GPU MEASUREMENT.,"All values are deterministic CPU simulation/model outputs. They do not measure GPU kernels, CUDA graphs, accelerator memory, power, or production throughput.",full,train,synchronized,pb12-01-synchronized-train,pb12-01-synchronized-train/seed-0009,9,one-round-fidelity-model,16,16,1.0,16.177319999999998,28.24901999999999,0,48,48,0,0,0,0,0,fd1c2bd2679d30e8b2ad79da20c578136db1f4fe5fbe1bbd42067f621c0abcf2
