evidence_class,measurement_warning,workload,regime,seed,policy,configured_cache_hit_probability,configured_token_acceptance_probability,observed_cache_hits,observed_cache_misses,observed_cache_hit_rate,accepted_draft_tokens,verifier_rounds,mean_verifier_tokens_per_round,requests,output_tokens,makespan_ms,p50_tbt_ms,p95_tbt_ms,p99_tbt_ms,throughput_tokens_per_s,token_gap_slo_attainment,request_tbt_slo_attainment,tbt_request_goodput_tokens_per_s,padded_verifier_slots,direct_hit_delay_ms,total_direct_hit_delay_ms,target_launches,draft_launches,mean_batch
synthetic-model,SYNTHETIC MODEL OUTPUT — NOT GPU MEASUREMENTS.,synchronized-cohort,c0-0p700_t0-0p550,7,saguaro-barrier,0.7,0.55,752,357,0.6780883678990082,1147,1157,1.9913569576490924,48,2304,561.0130000000001,0.0,14.104000000000013,14.104000000000042,4106.8567038553465,0.6551418439716312,0.0,0.0,0,1.7682845744680826,1329.7499999999982,82,160,14.109756097560975
synthetic-model,SYNTHETIC MODEL OUTPUT — NOT GPU MEASUREMENTS.,synchronized-cohort,c0-0p700_t0-0p550,7,spectre-parallel-padded,0.7,0.55,741,347,0.6810661764705882,1137,1133,2.003530450132392,48,2304,548.6700000000005,0.0,14.104000000000013,14.104000000000042,4199.245448083543,0.8173758865248227,0.0,0.0,88,0.05639631129104878,41.789666666667145,93,197,12.548387096774194
synthetic-model,SYNTHETIC MODEL OUTPUT — NOT GPU MEASUREMENTS.,synchronized-cohort,c0-0p700_t0-0p550,7,immediate-fission,0.7,0.55,752,357,0.6780883678990082,1147,1157,1.9913569576490924,48,2304,549.1463333333339,0.0,14.104000000000013,14.104000000000042,4195.602993494747,0.8138297872340425,0.0,0.0,0,0.0,0.0,95,178,12.178947368421053
synthetic-model,SYNTHETIC MODEL OUTPUT — NOT GPU MEASUREMENTS.,synchronized-cohort,c0-0p700_t0-0p550,7,fixed-coalesce,0.7,0.55,752,357,0.6780883678990082,1147,1157,1.9913569576490924,48,2304,549.1463333333339,0.0,14.104000000000013,14.104000000000042,4195.602993494747,0.8138297872340425,0.0,0.0,0,0.0,0.0,95,178,12.178947368421053
synthetic-model,SYNTHETIC MODEL OUTPUT — NOT GPU MEASUREMENTS.,synchronized-cohort,c0-0p700_t0-0p550,7,fissionspec-horizon-2,0.7,0.55,752,357,0.6780883678990082,1147,1157,1.9913569576490924,48,2304,549.1463333333339,0.0,14.104000000000013,14.104000000000042,4195.602993494747,0.8138297872340425,0.0,0.0,0,0.0,0.0,95,178,12.178947368421053
synthetic-model,SYNTHETIC MODEL OUTPUT — NOT GPU MEASUREMENTS.,synchronized-cohort,c0-0p700_t1-0p900,7,saguaro-barrier,0.7,0.9,444,199,0.6905132192846034,1613,691,3.3342981186685963,48,2304,331.4528333333332,0.0,14.104000000000013,14.104000000000013,6951.215281007808,0.8040780141843972,0.125,868.901910125976,0,1.6551801801801773,734.8999999999987,59,115,11.711864406779661
synthetic-model,SYNTHETIC MODEL OUTPUT — NOT GPU MEASUREMENTS.,synchronized-cohort,c0-0p700_t1-0p900,7,spectre-parallel-padded,0.7,0.9,439,198,0.6891679748822606,1598,683,3.3396778916544654,48,2304,325.8596666666666,0.0,14.067999999999984,14.104000000000013,7070.528315358658,0.9002659574468085,0.020833333333333332,147.3026732366387,59,0.08842331055429063,38.81783333333359,53,111,13.320754716981131
synthetic-model,SYNTHETIC MODEL OUTPUT — NOT GPU MEASUREMENTS.,synchronized-cohort,c0-0p700_t1-0p900,7,immediate-fission,0.7,0.9,444,199,0.6905132192846034,1613,691,3.3342981186685963,48,2304,318.61116666666663,0.0,14.067999999999984,14.104000000000013,7231.384964013085,0.8993794326241135,0.0,0.0,0,0.0,0.0,52,99,13.288461538461538
synthetic-model,SYNTHETIC MODEL OUTPUT — NOT GPU MEASUREMENTS.,synchronized-cohort,c0-0p700_t1-0p900,7,fixed-coalesce,0.7,0.9,444,199,0.6905132192846034,1613,691,3.3342981186685963,48,2304,320.61116666666663,0.0,14.067999999999984,14.104000000000013,7186.274963390234,0.8993794326241135,0.0,0.0,0,0.0,0.0,52,99,13.288461538461538
synthetic-model,SYNTHETIC MODEL OUTPUT — NOT GPU MEASUREMENTS.,synchronized-cohort,c0-0p700_t1-0p900,7,fissionspec-horizon-2,0.7,0.9,444,199,0.6905132192846034,1613,691,3.3342981186685963,48,2304,318.61116666666663,0.0,14.067999999999984,14.104000000000013,7231.384964013085,0.8993794326241135,0.0,0.0,0,0.0,0.0,52,99,13.288461538461538
synthetic-model,SYNTHETIC MODEL OUTPUT — NOT GPU MEASUREMENTS.,synchronized-cohort,c1-0p950_t0-0p550,7,saguaro-barrier,0.95,0.55,1054,55,0.9504057709648331,1147,1157,1.9913569576490924,48,2304,536.9130000000001,0.0,14.104000000000013,14.104000000000013,4291.198015320917,0.6573581560283688,0.0,0.0,0,0.7203036053130918,759.1999999999988,81,122,14.283950617283951
